,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3120,5500,2003,3,8,87500,clean,automatic,rwd,full-size,44.0077,-93.7833,43.0
3121,4450,2004,3,8,152000,clean,automatic,4wd,full-size,42.484503,-92.324974,47.0
3122,25000,2016,4,6,45000,clean,automatic,4wd,full-size,32.9818,-114.6854,59.0
3123,28000,2013,3,6,87000,clean,automatic,4wd,full-size,29.807848,-81.242008,65.0
3124,25000,2011,3,6,61620,clean,automatic,4wd,mid-size,46.59003,-95.57415999999999,43.0
3125,5500,2004,2,8,211000,clean,automatic,4wd,full-size,38.386342,-85.255966,50.0
3127,3800,2008,2,8,0,clean,automatic,4wd,mid-size,25.950376,-97.32169300000001,67.0
3128,14950,2014,2,8,139325,clean,other,4wd,full-size,38.692648,-82.857744,49.0
3129,25946,2013,3,8,44060,clean,automatic,rwd,mid-size,29.80483,-94.98731,67.0
3130,11632,2006,3,8,134721,clean,automatic,4wd,mid-size,44.87313,-87.89568,45.0
3131,1900,1999,2,8,180090,clean,automatic,4wd,full-size,43.1793,-85.2497,45.0
3132,19995,2013,2,6,145956,clean,automatic,4wd,full-size,38.717906,-108.054869,45.0
3133,18999,2013,3,6,104953,clean,automatic,4wd,full-size,28.35742,-80.695708,65.0
3134,11995,2006,3,8,144388,clean,automatic,4wd,full-size,38.159627,-85.69770799999999,50.0
3135,32999,2013,4,8,66000,clean,automatic,4wd,full-size,42.868175,-85.862086,45.0
3136,32995,2012,2,6,36168,clean,automatic,4wd,full-size,34.947213,-89.44095300000001,61.0
3137,17500,2010,2,8,96796,clean,automatic,4wd,full-size,32.356164,-89.971375,61.0
3138,19463,2010,3,8,95484,clean,automatic,4wd,mid-size,28.03978,-81.94071,65.0
3143,18500,2012,3,6,77000,rebuilt,automatic,4wd,full-size,37.5085,-92.7891,52.0
3144,15995,2004,2,8,136658,clean,automatic,rwd,full-size,33.27424,-86.81088299999999,61.0
3145,9987,2003,3,8,0,clean,automatic,4wd,full-size,42.355897,-122.865844,50.0
3146,13995,2008,3,8,112286,clean,automatic,4wd,full-size,42.701772,-89.00885799999999,45.0
3148,4900,2007,2,6,90000,clean,automatic,rwd,full-size,40.616946,-75.44178199999999,53.0
3149,13995,2008,3,8,105033,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
3152,73055,2018,3,6,1,clean,automatic,4wd,full-size,47.830597,-110.662694,40.0
3153,6488,2002,2,8,152550,clean,automatic,rwd,full-size,28.665045,-82.111604,65.0
3155,24000,2013,3,6,46000,clean,automatic,4wd,full-size,35.645438,-88.851003,59.0
3157,5000,2001,3,8,45000,clean,automatic,rwd,full-size,34.8929,-114.5951,71.0
3158,24600,2010,3,8,63970,clean,automatic,4wd,mid-size,38.88358,-94.79383,51.0
3159,33890,2018,3,8,17621,clean,automatic,rwd,full-size,43.15481,-75.932436,53.0
